nameOfIssuer,titleOfClass,cusip,value,shrsOrPrnAmt,investmentDiscretion,votingAuthority,sshPrnamt,sshPrnamtType,cik,filingDate,reportDate,fund_name,figi,putCall,otherManager
ALPHABET INC,CAP STK CL A,02079K305,277984098,"{'sshPrnamt': '2322340', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '2322340', 'Shared': '0', 'None': '0'}",2322340,SH,1358706,2023-08-14,2023-06-30,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
ASBURY AUTOMOTIVE GROUP INC,COM,043436104,506935187,"{'sshPrnamt': '2108540', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '2108540', 'Shared': '0', 'None': '0'}",2108540,SH,1358706,2023-08-14,2023-06-30,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
CAMPING WORLD HLDGS INC,CL A,13462K109,153775121,"{'sshPrnamt': '5108808', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '5108808', 'Shared': '0', 'None': '0'}",5108808,SH,1358706,2023-08-14,2023-06-30,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
CANTALOUPE INC,COM,138103106,57152800,"{'sshPrnamt': '7180000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '7180000', 'Shared': '0', 'None': '0'}",7180000,SH,1358706,2023-08-14,2023-06-30,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
COUPANG INC,CL A,22266T109,226512574,"{'sshPrnamt': '13017964', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '13017964', 'Shared': '0', 'None': '0'}",13017964,SH,1358706,2023-08-14,2023-06-30,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
ENERGY TRANSFER L P,COM UT LTD PTN,29273V100,226495889,"{'sshPrnamt': '17834322', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '17834322', 'Shared': '0', 'None': '0'}",17834322,SH,1358706,2023-08-14,2023-06-30,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
HORIZON THERAPEUTICS PUB L,SHS,G46188101,91638630,"{'sshPrnamt': '890993', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '890993', 'Shared': '0', 'None': '0'}",890993,SH,1358706,2023-08-14,2023-06-30,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
LITHIA MTRS INC,COM,536797103,714983289,"{'sshPrnamt': '2351068', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '2351068', 'Shared': '0', 'None': '0'}",2351068,SH,1358706,2023-08-14,2023-06-30,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
META PLATFORMS INC,CL A,30303M102,326619399,"{'sshPrnamt': '1138126', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '1138126', 'Shared': '0', 'None': '0'}",1138126,SH,1358706,2023-08-14,2023-06-30,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
NUVATION BIO INC,COM CL A,67080N101,6860723,"{'sshPrnamt': '3811513', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '3811513', 'Shared': '0', 'None': '0'}",3811513,SH,1358706,2023-08-14,2023-06-30,"ABRAMS CAPITAL MANAGEMENT, L.P.",,,
