,index,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,name,cusip,twitter,put_value,hedge_funds_putting
0,1,1,4129,4129,INVESCO QQQ TR,46090E103,InvescoUS,19615533289.0,"['CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'DORSAL CAPITAL MANAGEMENT', 'SOROS FUND MANAGEMENT LLC']"
1,2,2,5650,5650,NVIDIA CORPORATION,67066G104,NVIDIAGeForce,10338189835.0,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc', 'POLAR ASSET MANAGEMENT PARTNERS']"
2,6,6,5204,5204,MICROSOFT CORP,594918104,Microsoft365,5508511350.0,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
3,8,8,373,373,AMAZON COM INC,023135106,amazonnews,4164578320.0,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
4,9,9,4314,4314,ISHARES TR,464288513,iSharesCanada,3610628672.0,"['CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC']"
5,10,10,325,325,ALPHABET INC,02079K305,Alphabetlnc,2334987324.0,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
6,13,13,324,324,ALPHABET INC,02079K107,Alphabetlnc,2110694355.0,"['CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
7,15,15,6758,6758,SELECT SECTOR SPDR TR,81369Y506,SectorSPDRs,1607839242.0,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC']"
8,18,18,135,135,ADOBE INC,00724F101,Adobe,1202548160.0,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
9,19,19,1524,1524,CHIPOTLE MEXICAN GRILL INC,169656105,ChipotleTweets,1151305155.0,"['CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
10,21,21,2597,2597,EXXON MOBIL CORP,30231G102,XOM_Chemical,1057961324.0,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
11,24,24,5937,5937,PAYPAL HLDGS INC,70450Y103,PayPalNews,950454372.0,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
12,25,25,856,856,BANK AMERICA CORP,060505104,BankofAmerica,950113380.0,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
13,26,26,6989,6989,SPDR GOLD TR,78463V107,StateStreetETFs,933150915.0,"['CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC']"
14,28,28,4250,4250,ISHARES TR,464287432,iSharesCanada,884744833.0,"['CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC']"
15,31,31,6760,6760,SELECT SECTOR SPDR TR,81369Y704,SectorSPDRs,869556536.0,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'GATES CAPITAL MANAGEMENT, INC']"
16,32,32,1559,1559,CITIGROUP INC,172967424,AskCiti,859440141.0,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
17,33,33,277,277,ALIBABA GROUP HLDG LTD,01609W102,AlibabaGroup,801269424.0,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
18,34,34,4238,4238,ISHARES TR,464287234,iSharesCanada,785045085.0,"['CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC']"
19,38,38,938,938,BERKSHIRE HATHAWAY INC CL B,084670702,berkshire,684205960.0,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
20,39,39,5509,5509,NIKE INC,654106103,nikestore,670946416.0,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
21,40,40,3923,3923,INTEL CORP,458140100,IntelSupport.</div></div></div></div></div></div></,663608295.0,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
22,41,41,7749,7749,UNITEDHEALTH GROUP INC,91324P102,UnitedHealthGrp,653430240.0,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC']"
23,42,42,2737,2737,FIRST SOLAR INC,336433107,FirstSolar,637472550.0,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
24,43,43,3597,3597,HOME DEPOT INC,437076102,HomeDepot,637466952.0,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
25,44,44,7841,7841,VANECK ETF TRUST,92189F676,vaneck_us,630126574.0,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC']"
26,45,45,5769,5769,ORACLE CORP,68389X105,OracleNews,622735456.0,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
27,46,46,6593,6593,ROYAL CARIBBEAN GROUP,V7780T103,NewsfromRCgroup,613882750.0,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc', 'TWO SIGMA INVESTMENTS, LP']"
28,47,47,237,237,AIRBNB INC,009066101,airbnbhelp,611064735.0,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc', 'III Capital Management ', 'TWO SIGMA INVESTMENTS, LP']"
