nameOfIssuer,cusip,value,sshPrnamt
10X CAPITAL VENTURE ACQ III,G87077114,151452,14995890
8I ACQUISITION 2 CORP,G2956R129,31962,66623172
A SPAC I ACQUISITION CORP,G0542S114,7560,63000000
A SPAC I ACQUISITION CORP,G0542S130,210210,21000000
A SPAC II ACQUISITION CORP,G0543H109,160734,16152360
A SPAC II ACQUISITION CORP,G0543H117,268926,27028050
A SPAC II ACQUISITION CORP,G0543H133,6132,81900000
ACCRETION ACQUISITION CORP,00438Y115,302484,30429000
ACCRETION ACQUISITION CORP,00438Y123,7308,81858000
ACE GLOBAL BUSINESS ACQU LTD,G0083E110,199206,19098492
ACHARI VENTURES HLDGS CORP I,00444X119,38304,7644042
ACRI CAPITAL ACQUISITION COR,00501A119,209370,21000000
ACROPOLIS INFRASTRUCTURE ACQ,005029103,183414,18900000
ACTIVISION BLIZZARD INC,00507V109,731178,9835770
AERCAP HOLDINGS NV,N00985106,876078,20696382
AETHERIUM ACQUISITION CORP,00809J119,397404,39900000
AFRICAN GOLD ACQUISITION COR,G0112R124,332976,33634818
AFTERNEXT HEALTHTECH ACQUISI,G01109100,184674,18900000
AGBA ACQUISITION LTD,G0120M117,84840,14829906
AGBA ACQUISITION LTD,G0120M125,2646,19136502
AGILE GROWTH CORP,G01202111,52122,5255586
AIB ACQUISITION CORPORATION,G0R45S117,4704,67200000
AIMFINITY INVESTMENT CORP I,G0135E126,181272,18312000
AIMFINITY INVESTMENT CORP I,G0135E142,82908,8400000
ALPHA HEALTHCARE ACQU CORP I,02073F104,88662,9103038
ALPHA PARTNERS TECH MERGR CO,G63290111,54222,5532576
ALPHA STAR ACQUISITION CORP,G0230C116,211680,21000000
ALPHA STAR ACQUISITION CORP,G0230C132,9450,63000000
ALPHABET INC,02079K305,686070,7172760
ALSET CAPITAL ACQUISITION CO,02115M117,298200,30181410
ALSET CAPITAL ACQUISITION CO,02115M125,7350,81782820
ALSP ORCHID ACQUISITION CORP,G0231L123,79380,7912170
ALTC ACQUISITION CORP,02156V109,184464,18900000
AMCI ACQUISITION CORP II,00166R100,205590,21000000
AMERICAS TECHNOLOGY ACQSN CO,G0404A110,217434,20905458
ANEBULO PHARMACEUTICALS INC,034569103,46956,16767198
ANGEL POND HOLDINGS CORP,G0447J102,183792,18698526
ANZU SPECIAL ACQUISITIN CORP,03737A119,4578,468006
APEIRON CAPITAL INVEST CORP,03752A119,137508,13723080
APX ACQUISITION CORP I,G0440J125,37758,3729894
ARBOR RAPHA CAP BIOHLDS CORP,03881F112,9492,938784
ARENA FORTIFY ACQUISITION CO,04005A112,42378,4200000
ARISZ ACQUISITION CORP,040450124,3780,63000000
AROGO CAPITAL ACQUISITION CO,042644104,208530,21000000
AROGO CAPITAL ACQUISITION CO,042644112,396228,39900000
ARROWROOT ACQUISITION CORP,04282M110,206220,21000000
ARTEMIS STRATEGIC INVT CORP,04303A103,208950,21000000
ASTREA ACQUISITION CORP,04637C114,134484,13666380
ATHENA TECHNOLOGY ACQ CORP I,04687C105,77280,7827918
ATLANTIC COASTAL AQSTN CORP,04845A116,210420,21000000
AULT DISRUPTIVE TECHS CORP,05150A112,127008,12600000
AURA FAT PROJS ACQUISITION C,G06362126,380646,37800000
AURORA TECHNOLOGY ACQUISITIO,G06984127,433524,43263990
AURORA TECHNOLOGY ACQUISITIO,G06984135,5124,85263990
AVALON ACQUISITION INC,05338E119,305130,30362388
AXIOS SUSTAINABLE GRW ACQ CO,G0703K116,212310,21000000
AXIOS SUSTAINABLE GRW ACQ CO,G0703K124,2100,18900000
AXONPRIME INFRSTCTR AQSTN CO,05467C108,183330,18900000
BANNER ACQUISITION CORP,06654K101,7056,712194
BANNER ACQUISITION CORP,06654K119,9450,955584
BANNIX ACQUISITION CORP,066644121,4410,63000000
BANYAN ACQUISITION CORPORATI,06690B115,166320,16649976
BATH & BODY WORKS INC,070830104,762510,23389968
BAUSCH PLUS LOMB CORP,071705107,504336,32876508
BEARD ENERGY TRANSITION ACQ,07402Q101,68040,6795600
BELONG ACQUISITION CORP,08069M110,8232,835800
BENESSERE CAPITAL ACQUSTN CO,08179B129,8526,63000000
BIG SKY GROWTH PARTNERS INC,08954L110,7392,756378
BILANDER ACQUISITION CORP,09001T106,183414,18900000
BIOHAVEN PHARMACTL HLDG CO L,G11196105,556248,3745644
BLACK KNIGHT INC,09215C105,469770,7257096
BLACK SPADE ACQUISITION CO,G11537100,82236,8400000
BLACKROCK CAP ALLOCATION TR,09260U109,223314,16408014
BLACKROCK INNOVATION AND GRW,09260Q108,223272,30709602
BLEUACACIA LTD,G11728113,101178,10260474
BLEUACACIA LTD,G11728139,2898,28811160
BLOCKCHAIN COINVSTRS ACQ CRP,G11765115,144060,14293314
BLOCKCHAIN MOON ACQUISITN CO,09370F117,3738,63000000
BLUE SAFARI GRP ACQUISITN CO,G1195R130,3192,32033358
BLUE WHALE ACQUISITION CORP,G1330M103,182952,18900000
BLUE WORLD ACQUISITION CORP,G1263E110,6048,75671568
BLUE WORLD ACQUISITION CORP,G1263E136,274176,27335784
BREAD FINANCIAL HOLDINGS INC,018581108,722064,22959468
BRIGHT LIGHTS ACQUISITION CO,10920K119,126882,12804372
BRIGHTSPHERE INVT GROUP INC,10948W103,699174,46893840
BRILLIANT ACQUISITION CORP,G1643W129,221970,21000000
BROAD CAPITAL ACQUISITION CO,11125B110,6300,63000000
BULLPEN PARLAY ACQUISITION C,G1792A118,101220,10041948
BURTECH ACQUISITION CORP,123013112,399420,39900000
BYNORDIC ACQUISITION CORP,124420100,29988,2981874
BYNORDIC ACQUISITION CORP,124420118,26586,2647176
BYTE ACQUISITION CORP,G1R25Q113,193158,19509462
CACTUS ACQUISITION CORP 1 LT,G1745A124,11130,1108758
CANNA GLOBAL ACQUISITION COR,13767K119,384762,38056368
CAPITALWORKS EMNG MKTS ACQST,G1889L126,86100,8516382
CARTESIAN GROWTH CORP II,G19305112,190134,18900000
CHAVANT CAPITAL ACQUISITN CO,G2058L111,15162,1504818
CHENGHE ACQUISITION CO,G2086M107,190344,18900000
CIA ENERGETICA DE MINAS GERA,204409601,637140,315422310
CLASS ACCELERATION CORP,18274B114,207480,21000000
CLEAN EARTH ACQUISITIONS COR,184493120,17052,77419146
CLIMATEROCK,G2311X118,272748,27300000
CLIMATEROCK,G2311X134,9828,75600000
CLOVER LEAF CAPITAL CORP,18915E121,2898,63000000
CNH INDL N V,N20944109,619416,55454742
COLOMBIER ACQUISITION CORP,19533H108,95970,9833250
COMPASS DIGITAL ACQUISITN CO,G2476C107,184674,18900000
CONCORD ACQUISITION CORP II,20607U108,183162,18900000
CONSILIUM ACQUISITN CORP I L,G2365L119,207900,21000000
CONSILIUM ACQUISITN CORP I L,G2365L127,7392,81900000
CONYERS PARK III ACQSITN COR,21289P102,183708,18900000
CORSAIR PARTNERING CORP,G2540H108,24276,2478588
COVA ACQUISITION CORP,G2554Y120,195174,19625718
CRESCERA CAP ACQUISITION COR,G26507106,8106,810600
CRESCERA CAP ACQUISITION COR,G26507114,91518,9132648
DA32 LIFE SCNCE TEC ACQSTN C,23312M106,183918,18900000
DATA KNIGHTS ACQUISITION COR,237699111,217560,21000000
DEEP LAKE CAPITAL ACQUSTN CO,G27029118,77238,7761600
DEEP MEDICINE ACQUISITION CO,243733110,2478,63000000
DELL TECHNOLOGIES INC,24703L202,591024,17296146
DENALI CAPITAL ACQUISITN COR,G6256B114,118734,11788938
DHB CAPITAL CORP,23291W117,33390,3395322
DILA CAPITAL ACQUISITION COR,254028111,4998,503412
DUET ACQUISITION CORP,26431Q106,187110,18900000
DUET ACQUISITION CORP,26431Q114,311850,31500000
EAST STONE ACQUISITION CORP,G2911D132,588,2104200
EDIFY ACQUISITION CORP,28059Q111,191226,19335666
EDOC ACQUISITION CORP,G4000A110,41286,8025066
EDOC ACQUISITION CORP,G4000A136,4410,63000000
EDTECHX HOLDINGS ACQU CORP I,28139A110,141120,13793472
EF HUTTON ACQUISITION CORP I,28201D208,415800,41580000
EMBRACE CHANGE ACQUISITN COR,G3034H133,53130,5250000
EMERGING MARKETS HORIZON COR,G3033X121,252420,25242000
EMPOWERMENT & INCLUSION CAPI,29248N118,207480,21000000
ENERGEM CORP,G30449121,105672,10415874
ENOVA INTL INC,29357K103,606984,20737710
ENPHYS ACQUISITION CORP,G3167L109,184380,18900000
EPIPHANY TECHNOLOGY ACQUISIT,29429X117,207480,21000000
