nameOfIssuer,cusip,value,sshPrnamt
10X CAPITAL VENTURE ACQ III,G87077114,3606,357045
8I ACQUISITION 2 CORP,G2956R129,761,1586266
A SPAC I ACQUISITION CORP,G0542S114,180,1500000
A SPAC I ACQUISITION CORP,G0542S130,5005,500000
A SPAC II ACQUISITION CORP,G0543H109,3827,384580
A SPAC II ACQUISITION CORP,G0543H117,6403,643525
A SPAC II ACQUISITION CORP,G0543H133,146,1950000
ACCRETION ACQUISITION CORP,00438Y115,7202,724500
ACCRETION ACQUISITION CORP,00438Y123,174,1949000
ACE GLOBAL BUSINESS ACQU LTD,G0083E110,4743,454726
ACHARI VENTURES HLDGS CORP I,00444X119,912,182001
ACRI CAPITAL ACQUISITION COR,00501A119,4985,500000
ACROPOLIS INFRASTRUCTURE ACQ,005029103,4367,450000
ACTIVISION BLIZZARD INC,00507V109,17409,234185
AERCAP HOLDINGS NV,N00985106,20859,492771
AETHERIUM ACQUISITION CORP,00809J119,9462,950000
AFRICAN GOLD ACQUISITION COR,G0112R124,7928,800829
AFTERNEXT HEALTHTECH ACQUISI,G01109100,4397,450000
AGBA ACQUISITION LTD,G0120M117,2020,353093
AGBA ACQUISITION LTD,G0120M125,63,455631
AGILE GROWTH CORP,G01202111,1241,125133
AIB ACQUISITION CORPORATION,G0R45S117,112,1600000
AIMFINITY INVESTMENT CORP I,G0135E126,4316,436000
AIMFINITY INVESTMENT CORP I,G0135E142,1974,200000
ALPHA HEALTHCARE ACQU CORP I,02073F104,2111,216739
ALPHA PARTNERS TECH MERGR CO,G63290111,1291,131728
ALPHA STAR ACQUISITION CORP,G0230C116,5040,500000
ALPHA STAR ACQUISITION CORP,G0230C132,225,1500000
ALPHABET INC,02079K305,16335,170780
ALSET CAPITAL ACQUISITION CO,02115M117,7100,718605
ALSET CAPITAL ACQUISITION CO,02115M125,175,1947210
ALSP ORCHID ACQUISITION CORP,G0231L123,1890,188385
ALTC ACQUISITION CORP,02156V109,4392,450000
AMCI ACQUISITION CORP II,00166R100,4895,500000
AMERICAS TECHNOLOGY ACQSN CO,G0404A110,5177,497749
ANEBULO PHARMACEUTICALS INC,034569103,1118,399219
ANGEL POND HOLDINGS CORP,G0447J102,4376,445203
ANZU SPECIAL ACQUISITIN CORP,03737A119,109,11143
APEIRON CAPITAL INVEST CORP,03752A119,3274,326740
APX ACQUISITION CORP I,G0440J125,899,88807
ARBOR RAPHA CAP BIOHLDS CORP,03881F112,226,22352
ARENA FORTIFY ACQUISITION CO,04005A112,1009,100000
ARISZ ACQUISITION CORP,040450124,90,1500000
AROGO CAPITAL ACQUISITION CO,042644104,4965,500000
AROGO CAPITAL ACQUISITION CO,042644112,9434,950000
ARROWROOT ACQUISITION CORP,04282M110,4910,500000
ARTEMIS STRATEGIC INVT CORP,04303A103,4975,500000
ASTREA ACQUISITION CORP,04637C114,3202,325390
ATHENA TECHNOLOGY ACQ CORP I,04687C105,1840,186379
ATLANTIC COASTAL AQSTN CORP,04845A116,5010,500000
AULT DISRUPTIVE TECHS CORP,05150A112,3024,300000
AURA FAT PROJS ACQUISITION C,G06362126,9063,900000
AURORA TECHNOLOGY ACQUISITIO,G06984127,10322,1030095
AURORA TECHNOLOGY ACQUISITIO,G06984135,122,2030095
AVALON ACQUISITION INC,05338E119,7265,722914
AXIOS SUSTAINABLE GRW ACQ CO,G0703K116,5055,500000
AXIOS SUSTAINABLE GRW ACQ CO,G0703K124,50,450000
AXONPRIME INFRSTCTR AQSTN CO,05467C108,4365,450000
BANNER ACQUISITION CORP,06654K101,168,16957
BANNER ACQUISITION CORP,06654K119,225,22752
BANNIX ACQUISITION CORP,066644121,105,1500000
BANYAN ACQUISITION CORPORATI,06690B115,3960,396428
BATH & BODY WORKS INC,070830104,18155,556904
BAUSCH PLUS LOMB CORP,071705107,12008,782774
BEARD ENERGY TRANSITION ACQ,07402Q101,1620,161800
BELONG ACQUISITION CORP,08069M110,196,19900
BENESSERE CAPITAL ACQUSTN CO,08179B129,203,1500000
BIG SKY GROWTH PARTNERS INC,08954L110,176,18009
BILANDER ACQUISITION CORP,09001T106,4367,450000
BIOHAVEN PHARMACTL HLDG CO L,G11196105,13244,89182
BLACK KNIGHT INC,09215C105,11185,172788
BLACK SPADE ACQUISITION CO,G11537100,1958,200000
BLACKROCK CAP ALLOCATION TR,09260U109,5317,390667
BLACKROCK INNOVATION AND GRW,09260Q108,5316,731181
BLEUACACIA LTD,G11728113,2409,244297
BLEUACACIA LTD,G11728139,69,685980
BLOCKCHAIN COINVSTRS ACQ CRP,G11765115,3430,340317
BLOCKCHAIN MOON ACQUISITN CO,09370F117,89,1500000
BLUE SAFARI GRP ACQUISITN CO,G1195R130,76,762699
BLUE WHALE ACQUISITION CORP,G1330M103,4356,450000
BLUE WORLD ACQUISITION CORP,G1263E110,144,1801704
BLUE WORLD ACQUISITION CORP,G1263E136,6528,650852
BREAD FINANCIAL HOLDINGS INC,018581108,17192,546654
BRIGHT LIGHTS ACQUISITION CO,10920K119,3021,304866
BRIGHTSPHERE INVT GROUP INC,10948W103,16647,1116520
BRILLIANT ACQUISITION CORP,G1643W129,5285,500000
BROAD CAPITAL ACQUISITION CO,11125B110,150,1500000
BULLPEN PARLAY ACQUISITION C,G1792A118,2410,239094
BURTECH ACQUISITION CORP,123013112,9510,950000
BYNORDIC ACQUISITION CORP,124420100,714,70997
BYNORDIC ACQUISITION CORP,124420118,633,63028
BYTE ACQUISITION CORP,G1R25Q113,4599,464511
CACTUS ACQUISITION CORP 1 LT,G1745A124,265,26399
CANNA GLOBAL ACQUISITION COR,13767K119,9161,906104
CAPITALWORKS EMNG MKTS ACQST,G1889L126,2050,202771
CARTESIAN GROWTH CORP II,G19305112,4527,450000
CHAVANT CAPITAL ACQUISITN CO,G2058L111,361,35829
CHENGHE ACQUISITION CO,G2086M107,4532,450000
CIA ENERGETICA DE MINAS GERA,204409601,15170,7510055
CLASS ACCELERATION CORP,18274B114,4940,500000
CLEAN EARTH ACQUISITIONS COR,184493120,406,1843313
CLIMATEROCK,G2311X118,6494,650000
CLIMATEROCK,G2311X134,234,1800000
CLOVER LEAF CAPITAL CORP,18915E121,69,1500000
CNH INDL N V,N20944109,14748,1320351
COLOMBIER ACQUISITION CORP,19533H108,2285,234125
COMPASS DIGITAL ACQUISITN CO,G2476C107,4397,450000
CONCORD ACQUISITION CORP II,20607U108,4361,450000
CONSILIUM ACQUISITN CORP I L,G2365L119,4950,500000
CONSILIUM ACQUISITN CORP I L,G2365L127,176,1950000
CONYERS PARK III ACQSITN COR,21289P102,4374,450000
CORSAIR PARTNERING CORP,G2540H108,578,59014
COVA ACQUISITION CORP,G2554Y120,4647,467279
CRESCERA CAP ACQUISITION COR,G26507106,193,19300
CRESCERA CAP ACQUISITION COR,G26507114,2179,217444
DA32 LIFE SCNCE TEC ACQSTN C,23312M106,4379,450000
DATA KNIGHTS ACQUISITION COR,237699111,5180,500000
DEEP LAKE CAPITAL ACQUSTN CO,G27029118,1839,184800
DEEP MEDICINE ACQUISITION CO,243733110,59,1500000
DELL TECHNOLOGIES INC,24703L202,14072,411813
DENALI CAPITAL ACQUISITN COR,G6256B114,2827,280689
DHB CAPITAL CORP,23291W117,795,80841
DILA CAPITAL ACQUISITION COR,254028111,119,11986
DUET ACQUISITION CORP,26431Q106,4455,450000
DUET ACQUISITION CORP,26431Q114,7425,750000
EAST STONE ACQUISITION CORP,G2911D132,14,50100
EDIFY ACQUISITION CORP,28059Q111,4553,460373
EDOC ACQUISITION CORP,G4000A110,983,191073
EDOC ACQUISITION CORP,G4000A136,105,1500000
