nameOfIssuer,nameOfIssuer_link,cusip,value,fund_name
SPDR S&P 500 ETF TR,"<a href=""http://www.google.com/search?q=stock price SPDR S&P 500 ETF TR"" 
        target=""_blank"">SPDR S&P 500 ETF TR</a>",78462F103,47454237435,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'III Capital Management ', 'POLAR ASSET MANAGEMENT PARTNERS', 'SOROS FUND MANAGEMENT LLC']"
INVESCO QQQ TR,"<a href=""http://www.google.com/search?q=stock price INVESCO QQQ TR"" 
        target=""_blank"">INVESCO QQQ TR</a>",46090E103,17596746784,"['CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'POLAR ASSET MANAGEMENT PARTNERS', 'SOROS FUND MANAGEMENT LLC', 'TWO SIGMA INVESTMENTS, LP']"
NVIDIA CORPORATION,"<a href=""http://www.google.com/search?q=stock price NVIDIA CORPORATION"" 
        target=""_blank"">NVIDIA CORPORATION</a>",67066G104,10218567568,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
ISHARES TR,"<a href=""http://www.google.com/search?q=stock price ISHARES TR"" 
        target=""_blank"">ISHARES TR</a>",464287655,9577214378,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'GLENVIEW CAPITAL MANAGEMENT, LLC', 'POLAR ASSET MANAGEMENT PARTNERS', 'SOROS FUND MANAGEMENT LLC', 'STARBOARD VALUE LP']"
TESLA INC,"<a href=""http://www.google.com/search?q=stock price TESLA INC"" 
        target=""_blank"">TESLA INC</a>",88160R101,8479678176,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
MICROSOFT CORP,"<a href=""http://www.google.com/search?q=stock price MICROSOFT CORP"" 
        target=""_blank"">MICROSOFT CORP</a>",594918104,6811814184,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
META PLATFORMS INC,"<a href=""http://www.google.com/search?q=stock price META PLATFORMS INC"" 
        target=""_blank"">META PLATFORMS INC</a>",30303M102,6055972432,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
APPLE INC,"<a href=""http://www.google.com/search?q=stock price APPLE INC"" 
        target=""_blank"">APPLE INC</a>",037833100,5669430910,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc', 'SOROS FUND MANAGEMENT LLC']"
ISHARES TR,"<a href=""http://www.google.com/search?q=stock price ISHARES TR"" 
        target=""_blank"">ISHARES TR</a>",464288513,5019855916,"['CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'POLAR ASSET MANAGEMENT PARTNERS', 'SOROS FUND MANAGEMENT LLC']"
AMAZON COM INC,"<a href=""http://www.google.com/search?q=stock price AMAZON COM INC"" 
        target=""_blank"">AMAZON COM INC</a>",023135106,4960932164,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
